Date : 2022-03-12 18:56:19
Directory : /home/Aaron-Li/Obsidian_Workspace
Total : 246 files,  276964 codes, 143025 comments, 38643 blanks, all 458632 lines

Languages
+----------------------+------------+------------+------------+------------+------------+
| language             | files      | code       | comment    | blank      | total      |
| /home/Aaron-Li/Obsidian_Workspace/Notebook_Data/.obsidian/core-plugins.json                                                         | JSON                 |         15 |          0 |          0 |         15 |
| /home/Aaron-Li/Obsidian_Workspace/Notebook_Data/.obsidian/hotkeys.json                                                              | JSON                 |          1 |          0 |          0 |          1 |
| /home/Aaron-Li/Obsidian_Workspace/Notebook_Data/notebook_20220202.json                                                              | JSON                 |         66 |          0 |          0 |         66 |
| /home/Aaron-Li/Obsidian_Workspace/README.en.md                                                                                      | source.markdown.math |         25 |          0 |         12 |         37 |
| /home/Aaron-Li/Obsidian_Workspace/README.md                                                                                         | source.markdown.math |         27 |          0 |         13 |         40 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/app.json                                                                        | JSON                 |          4 |          0 |          0 |          4 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/appearance.json                                                                 | JSON                 |          6 |          0 |          0 |          6 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/community-plugins.json                                                          | JSON                 |          3 |          0 |          0 |          3 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/core-plugins.json                                                               | JSON                 |         19 |          0 |          0 |         19 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/graph.json                                                                      | JSON                 |         22 |          0 |          0 |         22 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/hotkeys.json                                                                    | JSON                 |          1 |          0 |          0 |          1 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/plugins/obsidian-annotator/main.js                                              | JavaScript           |          4 |     19,775 |          1 |     19,780 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/plugins/obsidian-annotator/manifest.json                                        | JSON                 |         10 |          0 |          1 |         11 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/plugins/obsidian-proxy-github-v1.1.0/obsidian-proxy-github-v1.1.0/README.md     | source.markdown.math |         27 |          0 |         22 |         49 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/plugins/obsidian-proxy-github-v1.1.0/obsidian-proxy-github-v1.1.0/main.js       | JavaScript           |         68 |          2 |          6 |         76 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/plugins/obsidian-proxy-github-v1.1.0/obsidian-proxy-github-v1.1.0/manifest.json | JSON                 |         10 |          0 |          1 |         11 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/plugins/obsidianFix/ObsidianFix.bat                                             | Batch                |         42 |          0 |          5 |         47 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/plugins/obsidianFix/ObsidianFix恢复.bat                                           | Batch                |         14 |          0 |          5 |         19 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/plugins/obsidianFix/README.md                                                   | source.markdown.math |         39 |          0 |         24 |         63 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/80s Neon.css                                                             | CSS                  |        284 |        142 |         65 |        491 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Agora.css                                                                | CSS                  |        713 |         89 |         54 |        856 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Al Dente.css                                                             | CSS                  |      1,026 |        156 |        217 |      1,399 |
