Date : 2022-03-12 18:56:19
Directory : /home/Aaron-Li/Obsidian_Workspace
Total : 246 files,  276964 codes, 143025 comments, 38643 blanks, all 458632 lines

Languages
+----------------------+------------+------------+------------+------------+------------+
| language             | files      | code       | comment    | blank      | total      |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Obsidian Nord.css                                                        | CSS                  |        401 |         17 |         68 |        486 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Obsidian Windows 98 Edition.css                                          | CSS                  |        884 |         59 |        112 |      1,055 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Obsidian You.css                                                         | CSS                  |        692 |        199 |        118 |      1,009 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Obsidian gruvbox.css                                                     | CSS                  |        424 |         17 |         74 |        515 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Obsidianite.css                                                          | CSS                  |      1,172 |        219 |        242 |      1,633 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Obuntu.css                                                               | CSS                  |      1,485 |        182 |        319 |      1,986 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Ono Sendai.css                                                           | CSS                  |      2,370 |        136 |        282 |      2,788 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Palatinate.css                                                           | CSS                  |        436 |         40 |         96 |        572 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Panic Mode.css                                                           | CSS                  |      1,247 |        418 |        372 |      2,037 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Pine Forest Berry.css                                                    | CSS                  |        911 |        177 |        217 |      1,305 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Pink Topaz.css                                                           | CSS                  |      3,521 |      1,327 |        656 |      5,504 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Pisum.css                                                                | CSS                  |        640 |        235 |        143 |      1,018 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Primary.css                                                              | CSS                  |      4,100 |        840 |      1,004 |      5,944 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Prism.css                                                                | CSS                  |      4,047 |      2,276 |        919 |      7,242 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Purple Aurora.css                                                        | CSS                  |        208 |         42 |         47 |        297 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Purple Owl.css                                                           | CSS                  |      3,565 |        399 |        223 |      4,187 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Red Graphite.css                                                         | CSS                  |        418 |        170 |        106 |        694 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Reverie.css                                                              | CSS                  |        359 |         23 |         61 |        443 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Rmaki.css                                                                | CSS                  |        844 |         85 |         54 |        983 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Rosé Pine Moon.css                                                       | CSS                  |        755 |          4 |        211 |        970 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Ruby.css                                                                 | CSS                  |        543 |         77 |        147 |        767 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Sanctum.css                                                              | CSS                  |      6,686 |      1,297 |        987 |      8,970 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Shimmering Focus.css                                                     | CSS                  |      3,599 |        994 |        641 |      5,234 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Slytherin.css                                                            | CSS                  |      4,116 |        838 |        327 |      5,281 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Sodalite.css                                                             | CSS                  |        515 |         52 |        150 |        717 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Solarized.css                                                            | CSS                  |        221 |         19 |         29 |        269 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Spectrum.css                                                             | CSS                  |      1,361 |        105 |        284 |      1,750 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Subtlegold.css                                                           | CSS                  |        270 |         55 |         56 |        381 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Suddha.css                                                               | CSS                  |      3,128 |        314 |        678 |      4,120 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Terminal.css                                                             | CSS                  |      1,058 |        309 |         65 |      1,432 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Things.css                                                               | CSS                  |      4,529 |        543 |        257 |      5,329 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Tokyo Night.css                                                          | CSS                  |      1,275 |          8 |        134 |      1,417 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Traffic Lights.css                                                       | CSS                  |        704 |        255 |        158 |      1,117 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Typewriter.css                                                           | CSS                  |      1,867 |        211 |         89 |      2,167 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Typomagical.css                                                          | CSS                  |        629 |        135 |         84 |        848 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Ursa.css                                                                 | CSS                  |        575 |         72 |         90 |        737 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Vileplume.css                                                            | CSS                  |        541 |         29 |         93 |        663 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Warmth.css                                                               | CSS                  |        331 |          9 |         72 |        412 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Wyrd.css                                                                 | CSS                  |      1,226 |        105 |         23 |      1,354 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Yin and Yang.css                                                         | CSS                  |      7,477 |      1,119 |      1,223 |      9,819 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/obsidian_ia.css                                                          | CSS                  |        718 |         50 |        141 |        909 |
| /home/Aaron-Li/Obsidian_Workspace/library/Tools/TabCopy Options_复制plugin.md                                                         | source.markdown.math |          3 |          0 |          0 |          3 |
| /home/Aaron-Li/Obsidian_Workspace/library/zettelkasten.md                                                                           | source.markdown.math |         17 |          0 |          2 |         19 |
| /home/Aaron-Li/Obsidian_Workspace/library/文件搜索.md                                                                                   | source.markdown.math |          0 |          0 |          1 |          1 |
| /home/Aaron-Li/Obsidian_Workspace/library/浪潮之巅学习笔记.md                                                                               | source.markdown.math |        189 |          0 |         32 |        221 |
| /home/Aaron-Li/Obsidian_Workspace/形势与政策/.obsidian/app.json                                                                          | JSON                 |          6 |          0 |          0 |          6 |
| /home/Aaron-Li/Obsidian_Workspace/形势与政策/.obsidian/appearance.json                                                                   | JSON                 |          4 |          0 |          0 |          4 |
| /home/Aaron-Li/Obsidian_Workspace/形势与政策/.obsidian/community-plugins.json                                                            | JSON                 |          3 |          0 |          0 |          3 |
| /home/Aaron-Li/Obsidian_Workspace/形势与政策/.obsidian/core-plugins.json                                                                 | JSON                 |         14 |          0 |          0 |         14 |
| /home/Aaron-Li/Obsidian_Workspace/形势与政策/.obsidian/hotkeys.json                                                                      | JSON                 |          1 |          0 |          0 |          1 |
| /home/Aaron-Li/Obsidian_Workspace/形势与政策/.obsidian/plugins/obsidian-annotator/main.js                                                | JavaScript           |          4 |     19,775 |          1 |     19,780 |
| /home/Aaron-Li/Obsidian_Workspace/形势与政策/.obsidian/plugins/obsidian-annotator/manifest.json                                          | JSON                 |         10 |          0 |          1 |         11 |
| /home/Aaron-Li/Obsidian_Workspace/形势与政策/.obsidian/plugins/obsidian-git/data.json                                                    | JSON                 |         18 |          0 |          0 |         18 |
| /home/Aaron-Li/Obsidian_Workspace/形势与政策/.obsidian/plugins/obsidian-git/main.js                                                      | JavaScript           |     14,041 |      1,369 |        148 |     15,558 |
| /home/Aaron-Li/Obsidian_Workspace/形势与政策/.obsidian/plugins/obsidian-git/manifest.json                                                | JSON                 |          8 |          0 |          1 |          9 |
| /home/Aaron-Li/Obsidian_Workspace/形势与政策/.obsidian/plugins/obsidian-git/styles.css                                                   | CSS                  |        380 |          0 |          5 |        385 |
| /home/Aaron-Li/Obsidian_Workspace/形势与政策/.obsidian/plugins/proxygithub/README.md                                                     | source.markdown.math |         27 |          0 |         22 |         49 |
| /home/Aaron-Li/Obsidian_Workspace/形势与政策/.obsidian/plugins/proxygithub/main.js                                                       | JavaScript           |         68 |          2 |          6 |         76 |
| /home/Aaron-Li/Obsidian_Workspace/形势与政策/.obsidian/plugins/proxygithub/manifest.json                                                 | JSON                 |         10 |          0 |          1 |         11 |
| /home/Aaron-Li/Obsidian_Workspace/形势与政策/.obsidian/themes/Blue Topaz.css                                                             | CSS                  |     11,172 |      1,976 |      2,123 |     15,271 |
| /home/Aaron-Li/Obsidian_Workspace/形势与政策/三项原则”为新时期中美关系把舵引航_刘明.注释.md                                                                  | source.markdown.math |         27 |          0 |          4 |         31 |
| /home/Aaron-Li/Obsidian_Workspace/形势与政策/中美对网络空间的矛盾.md                                                                               | source.markdown.math |         15 |          0 |          4 |         19 |
| /home/Aaron-Li/Obsidian_Workspace/形势与政策/形式与政策网站地址.md                                                                                | source.markdown.math |          5 |          0 |          0 |          5 |
| /home/Aaron-Li/Obsidian_Workspace/形势与政策/网络空间中美战略博弈态势、动因及未来走向_余丽.注释.md                                                               | source.markdown.math |          3 |          0 |          0 |          3 |
| /home/Aaron-Li/Obsidian_Workspace/数据库学习笔记/.obsidian/.obsidian/app.json                                                              | JSON                 |          1 |          0 |          0 |          1 |
| /home/Aaron-Li/Obsidian_Workspace/数据库学习笔记/.obsidian/.obsidian/appearance.json                                                       | JSON                 |          3 |          0 |          0 |          3 |
| /home/Aaron-Li/Obsidian_Workspace/数据库学习笔记/.obsidian/.obsidian/core-plugins.json                                                     | JSON                 |         14 |          0 |          0 |         14 |
| /home/Aaron-Li/Obsidian_Workspace/数据库学习笔记/.obsidian/.obsidian/hotkeys.json                                                          | JSON                 |          1 |          0 |          0 |          1 |
| /home/Aaron-Li/Obsidian_Workspace/数据库学习笔记/.obsidian/app.json                                                                        | JSON                 |         36 |          0 |          0 |         36 |
| /home/Aaron-Li/Obsidian_Workspace/数据库学习笔记/.obsidian/appearance.json                                                                 | JSON                 |          6 |          0 |          0 |          6 |
| /home/Aaron-Li/Obsidian_Workspace/数据库学习笔记/.obsidian/community-plugins.json                                                          | JSON                 |          4 |          0 |          0 |          4 |
| /home/Aaron-Li/Obsidian_Workspace/数据库学习笔记/.obsidian/core-plugins.json                                                               | JSON                 |         16 |          0 |          0 |         16 |
| /home/Aaron-Li/Obsidian_Workspace/数据库学习笔记/.obsidian/graph.json                                                                      | JSON                 |         72 |          0 |          0 |         72 |
| /home/Aaron-Li/Obsidian_Workspace/数据库学习笔记/.obsidian/hotkeys.json                                                                    | JSON                 |          1 |          0 |          0 |          1 |
| /home/Aaron-Li/Obsidian_Workspace/数据库学习笔记/.obsidian/note-composer.json                                                              | JSON                 |          3 |          0 |          0 |          3 |
| /home/Aaron-Li/Obsidian_Workspace/数据库学习笔记/.obsidian/plugins/obsidian-annotator/main.js                                              | JavaScript           |          4 |     19,775 |          1 |     19,780 |
| /home/Aaron-Li/Obsidian_Workspace/数据库学习笔记/.obsidian/plugins/obsidian-annotator/manifest.json                                        | JSON                 |         10 |          0 |          1 |         11 |
| /home/Aaron-Li/Obsidian_Workspace/数据库学习笔记/.obsidian/plugins/obsidian-git/data.json                                                  | JSON                 |         18 |          0 |          0 |         18 |
| /home/Aaron-Li/Obsidian_Workspace/数据库学习笔记/.obsidian/plugins/obsidian-git/main.js                                                    | JavaScript           |     14,041 |      1,369 |        148 |     15,558 |
| /home/Aaron-Li/Obsidian_Workspace/数据库学习笔记/.obsidian/plugins/obsidian-git/manifest.json                                              | JSON                 |          8 |          0 |          1 |          9 |
| /home/Aaron-Li/Obsidian_Workspace/数据库学习笔记/.obsidian/plugins/obsidian-git/styles.css                                                 | CSS                  |        380 |          0 |          5 |        385 |
| /home/Aaron-Li/Obsidian_Workspace/数据库学习笔记/.obsidian/plugins/proxygithub/README.md                                                   | source.markdown.math |         27 |          0 |         22 |         49 |
| /home/Aaron-Li/Obsidian_Workspace/数据库学习笔记/.obsidian/plugins/proxygithub/main.js                                                     | JavaScript           |         68 |          2 |          6 |         76 |
| /home/Aaron-Li/Obsidian_Workspace/数据库学习笔记/.obsidian/plugins/proxygithub/manifest.json                                               | JSON                 |         10 |          0 |          1 |         11 |
| /home/Aaron-Li/Obsidian_Workspace/数据库学习笔记/.obsidian/starred.json                                                                    | JSON                 |          9 |          0 |          0 |          9 |
| /home/Aaron-Li/Obsidian_Workspace/数据库学习笔记/.obsidian/themes/Blue Topaz.css                                                           | CSS                  |     14,114 |      2,533 |      2,176 |     18,823 |
| /home/Aaron-Li/Obsidian_Workspace/数据库学习笔记/day1.md                                                                                   | source.markdown.math |          7 |          0 |          3 |         10 |
| /home/Aaron-Li/Obsidian_Workspace/服务器/.obsidian/app.json                                                                            | JSON                 |          4 |          0 |          0 |          4 |
| /home/Aaron-Li/Obsidian_Workspace/服务器/.obsidian/appearance.json                                                                     | JSON                 |          3 |          0 |          0 |          3 |
| /home/Aaron-Li/Obsidian_Workspace/服务器/.obsidian/core-plugins.json                                                                   | JSON                 |         15 |          0 |          0 |         15 |
| /home/Aaron-Li/Obsidian_Workspace/服务器/.obsidian/hotkeys.json                                                                        | JSON                 |          1 |          0 |          0 |          1 |
| /home/Aaron-Li/Obsidian_Workspace/服务器/.obsidian/plugins/obsidian-annotator/main.js                                                  | JavaScript           |          4 |     19,775 |          1 |     19,780 |
| /home/Aaron-Li/Obsidian_Workspace/服务器/.obsidian/plugins/obsidian-annotator/manifest.json                                            | JSON                 |         10 |          0 |          1 |         11 |
| /home/Aaron-Li/Obsidian_Workspace/服务器/.obsidian/plugins/obsidian-git/data.json                                                      | JSON                 |         18 |          0 |          0 |         18 |
| /home/Aaron-Li/Obsidian_Workspace/服务器/.obsidian/plugins/obsidian-git/main.js                                                        | JavaScript           |     14,041 |      1,369 |        148 |     15,558 |
| /home/Aaron-Li/Obsidian_Workspace/服务器/.obsidian/plugins/obsidian-git/manifest.json                                                  | JSON                 |          8 |          0 |          1 |          9 |
| /home/Aaron-Li/Obsidian_Workspace/服务器/.obsidian/plugins/obsidian-git/styles.css                                                     | CSS                  |        380 |          0 |          5 |        385 |
| /home/Aaron-Li/Obsidian_Workspace/服务器/.obsidian/plugins/proxygithub/README.md                                                       | source.markdown.math |         27 |          0 |         22 |         49 |
| /home/Aaron-Li/Obsidian_Workspace/服务器/.obsidian/plugins/proxygithub/main.js                                                         | JavaScript           |         68 |          2 |          6 |         76 |
| /home/Aaron-Li/Obsidian_Workspace/服务器/.obsidian/plugins/proxygithub/manifest.json                                                   | JSON                 |         10 |          0 |          1 |         11 |
| /home/Aaron-Li/Obsidian_Workspace/服务器/.obsidian/themes/Blue Topaz.css                                                               | CSS                  |     11,172 |      1,976 |      2,123 |     15,271 |
| /home/Aaron-Li/Obsidian_Workspace/服务器/惠普.md                                                                                         | source.markdown.math |          1 |          0 |          0 |          1 |
| /home/Aaron-Li/Obsidian_Workspace/服务器/戴尔.md                                                                                         | source.markdown.math |          4 |          0 |          1 |          5 |
| /home/Aaron-Li/Obsidian_Workspace/服务器/未命名.md                                                                                        | source.markdown.math |          8 |          0 |          5 |         13 |
| Total                                                                                                                               |                      |    276,964 |    143,025 |     38,643 |    458,632 |
+-------------------------------------------------------------------------------------------------------------------------------------+----------------------+------------+------------+------------+------------+
